식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g)
대게,100,-,-,-,0.9
대게-자건품,100,314,66.7,2.6,-
대구,100,-,-,-,-
대구,100,86,19.5,0.3,-
대구,100,-,16.1,-,-
대구-소건품,100,312,65.4,3,-
대구-소건품,100,-,55,-,-
대구-소건품,100,-,-,-,0.3
대구-수컷,100,-,-,-,0.3
대구-수컷,100,-,-,-,-
대구-수컷,100,83,18.2,0.4,-
대구-수컷-간,100,-,-,-,49.3
대구-수컷-근육,100,-,-,-,0.4
대구-수컷-내장,100,-,-,-,9.5
대구-알,100,-,-,-,-
대구-알,100,-,-,-,-
대구-알,100,-,-,-,1.2
대구-암컷,100,-,-,-,-
대구-암컷,100,69,15.4,0.3,-
대구-암컷-근육,100,-,-,-,0.3
대구-암컷-내장,100,-,-,-,44.3
대구-조미건품(포),100,305,54.2,2.1,2.1
대구횟대,100,93,19.5,0.9,1.2
대두어,100,96,17.5,2.1,-
대문어,100,-,-,-,-
대문어,100,58,12.2,0.6,0.6
대문어,100,-,-,-,-
대문어-내장,100,-,16.8,-,-
대문어-몸통,100,-,14.3,-,-
대문어-소건품,100,348,72,3.1,-
대수리,100,112,18.8,2.6,-
대하,100,-,-,-,-
대하,100,82,18.1,0.6,-
대하,100,-,-,-,-
대하,100,-,21.6,-,-
대황-소건품,100,145,7.3,0.2,-
덕대,100,-,15.6,-,6.9
덕대-알,100,-,22.3,-,16.8
도다리,100,-,-,-,-
도다리,100,-,-,-,2.3
도다리,100,78,17.6,0.2,-
도다리,100,-,19.9,-,-
도도바리,100,95,19.4,1.2,1.2
도루묵,100,-,14.9,-,4.6
도루묵,100,113,16,4.6,-
도화돔,100,130,21.3,4.3,-
도화양태,100,-,-,-,0.5
도화양태,100,77,16.9,0.5,-
독가시치,100,-,-,-,5.8
독가시치,100,97,20.3,1.2,-
독돔,100,97,20.8,0.9,-
돌가자미,100,90,20,0.6,-
돌가자미,100,-,21.5,-,3.5
돌가자미-소건품,100,107,20.7,1.4,1.4
돌고기,100,-,-,-,1.4
돌돔,100,-,-,-,-
돌돔,100,86,17.8,1,-
돌돔,100,-,20.3,-,0.4
돌돔-양식산,100,-,-,-,7.9
돌돔-자연산,100,-,-,-,2.7
돔발상어,100,85,17.9,1,-
돔발상어-알,100,329,25,23.5,-
동갈돗돔,100,-,-,-,1.5
동갈치,100,-,-,-,1.3
동갈치,100,97,19.8,1.3,-
동남참게,100,125,13.2,3,3
동동갈치,100,121,20,3.9,-
동사리,100,81,16.9,1,-
동자개,100,-,-,-,3.8
동자개,100,-,17,-,-
동자개,100,81,15.7,1.6,-
동자개-알,100,-,25.5,-,-
