식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"밀, 통밀, 생것",100,342,13.2,1.5,74.6,-
"밀, 호라산, 말린것",100,334,13.74,1.91,71.16,4.37
"밀, 강력밀가루",100,334,13.59,1.11,72.89,0
"밀, 도넛가루",100,404,8.5,6.8,73.9,-
"밀, 박력밀가루",100,374,9.15,0.94,77.73,0
"밀, 부침가루",100,368,9.8,0.98,75.52,3.49
"밀, 빵가루",100,392,11.95,2.05,77.04,4.74
"밀, 중력밀가루",100,375,10.34,1.01,76.64,0
"밀, 통밀가루",100,365,11.9,1.6,71.5,-
"밀, 튀김가루",100,367,7.22,0.8,78.41,0
"밀, 팬케이크가루",100,394,7.9,4.9,75.9,-
"과자, 건빵",100,419,9.92,8.67,75.37,16.84
"과자, 대추꿀약과",100,428,4.5,16.3,65.7,-
"과자, 마카로니",100,457,11.5,13.96,71.28,0.93
"과자, 만주, 밤",100,330,6.35,2.39,70.86,42.45
"과자, 모나카",100,346,3.35,0.29,82.62,36.58
"과자, 바닐라 웨하스",100,521,4.1,26.9,65.6,-
"과자, 비스킷, 소프트",100,489,5.7,24.93,60.34,23.46
"과자, 비스킷, 하드",100,534,6.68,28.58,62.63,9.21
"과자, 뻥튀기, 원반 모양, 팽화",100,383,11.06,1.07,82.29,1.74
"과자, 사과파이",100,471,5.5,21,64.98,22.83
"과자, 스낵, 새우",100,494,6.04,22.77,66.32,4
"과자, 스낵, 옥수수",100,520,5.25,26.27,65.73,2.01
"과자, 약과",100,422,3.8,13.3,71.7,-
"과자, 전병",100,390,-7,-3.2,-84.9,-48.5
"과자, 전병, 김",100,420,6.7,6.9,82.8,-
"과자, 초코볼",100,501,4.3,22.5,70.2,-
"과자, 초코파이",100,428,4.29,15.57,67.59,31.18
"과자, 쿠키, 땅콩버터",100,493,8.36,20.87,67.97,22.42
"과자, 쿠키, 버터",100,512,6.37,24.52,66.47,16.45
"과자, 쿠키, 초코칩",100,494,5.92,20.55,71.38,23.18
"과자, 쿠키, 통밀",100,471,6.48,17.17,72.73,16.62
"과자, 크랙커",100,513,7,27.8,58.8,-
"과자, 크래커, 땅콩샌드",100,524,7.66,26.24,64.23,14.64
"과자, 크래커, 채소",100,506,7.38,22.62,68.26,12.12
"과자, 크래커, 치즈샌드",100,497,6.08,22.23,68.24,14.69
"국수, 생것",100,291,7.25,0.87,60.09,7.39
"국수, 말린것",100,368,10.38,1.24,74.41,2.57
"국수, 말린것, 삶은것",100,123,3.55,0.44,24.7,0
"국수, 소면, 말린것",100,370,10.36,1.27,74.88,1.93
"국수, 소면, 말린것, 삶은것",100,126,3.55,0.48,25.36,0
"국수, 중면, 말린것",100,366,10.4,1.21,73.94,3.21
"국수, 중면, 말린것, 삶은것",100,120,3.55,0.4,24.04,0
"라면, 말린것",100,445,8.23,14.28,69.05,0
"라면, 말린것, 삶은것",100,175,3.61,4.17,29.65,0
"마카로니, 말린것",100,380,12.2,0.4,77.1,-
"마카로니, 말린것, 삶은것",100,126,3.8,0.2,25.8,-
"스파게티면, 말린것",100,365,11.78,1.28,76.64,1.39
"스파게티면, 말린것, 삶은것",100,129,3.8,0,26.9,-
"우동면, 생것",100,164,3.33,1.25,33.09,0
"우동면, 생것, 삶은것",100,139,2.95,0.46,29.12,0
"중국국수면, 생것",100,249,8.6,1.2,55.7,1
"중국국수면, 생것, 삶은것",100,133,4.9,0.6,29.2,0.1
"중국국수면, 말린것",100,336,10.3,5.2,67.1,-0.9
"중국국수면, 말린것, 삶은것",100,132,5.2,0.6,28.6,-0.1
"중국국수면, 증숙, 생것",100,162,4.9,1.7,35.6,0.3
"쫄면, 말린것",100,348,9.16,1.08,71.29,4.5
"칼국수면, 생것",100,303,7.25,0.87,63.02,0
"칼국수면, 생것, 삶은것",100,140,3.49,0.43,28.98,0
"칼국수면, 반건조",100,281,6.4,1.4,57.5,-
"빵, 건포도빵",100,263,8.2,3.5,51.1,-
"빵, 곰보빵",100,415,9.5,14.54,61.44,17.01
"빵, 꽈배기",100,404,7.9,20.4,47.2,-
"빵, 난",100,257,10.3,3.4,47.6,-
"빵, 도넛, 링",100,426,7.3,26,40.6,-
"빵, 도넛, 팥",100,347,6.6,15.3,45.7,-
"빵, 롤빵, 소프트",100,309,10.1,9,48.6,6.4
"빵, 롤빵, 하드",100,293,9.9,4.3,52.7,1.77
"빵, 마늘빵",100,424,9.8,17.2,57.5,-
"빵, 머핀, 우유",100,296,6.9,11.4,41.4,-
"빵, 머핀, 잉글리쉬",100,235,7.7,1.8,46,-
"빵, 모닝빵",100,316,9.06,4.91,58.99,11.33
"빵, 모카빵",100,354,8.31,7.53,63.29,15.43
"빵, 바게트",100,289,9.4,1.3,57.5,1.8
"빵, 베이글",100,270,9.6,2,54.6,4.8
"빵, 베이글, 달걀",100,278,10.6,2.1,53,-
"빵, 붕어빵, 팥",100,254,4.81,6.44,44.12,11.98
"빵, 소시지빵",100,323,10.59,16.52,33,5.05
"빵, 식빵",100,279,9.01,4.91,49.68,4.12
"빵, 식빵, 옥수수",100,270,9.44,3.42,50.45,5.32
"빵, 식빵, 우유",100,285,9.1,6,48.7,-
"빵, 옥수수빵",100,321,7.4,10.2,49.1,-
"빵, 와플",100,291,7.9,14.1,32.9,-
"빵, 와플, 잼",100,279,-4.9,-4.2,-57.3,-36.4
"빵, 와플, 커스터드 크림",100,241,-7.3,-7.9,-38.1,-15
"빵, 잼빵",100,285,-5.3,-3.9,-58.1,-27.6
"빵, 찐빵, 단호박",100,239,5.4,0.9,52.4,-
"빵, 찐빵, 채소",100,231,8.1,5.5,37.3,-
"빵, 찐빵, 팥",100,213,5.96,1.29,44.36,10.42
"빵, 카스텔라",100,299,6.91,3.72,59.46,24.85
"빵, 크루아상",100,438,7.9,26.8,43.9,-
"빵, 크루아상, 버터",100,406,8.2,21,45.8,11.26
"빵, 크로켓",100,307,6,18.2,29.7,-
"빵, 크로켓, 채소",100,301,7.1,16.4,31.2,-
"빵, 크림빵",100,275,6,7.7,45.5,-
"빵, 크림빵, 버터",100,383,8.2,18.4,46.2,-
"빵, 팥빵",100,253,7.57,3.17,48.51,16.37
"빵, 페이스트리",100,457,8.6,26.3,46.5,-
"빵, 페이스트리, 과일",100,371,5.4,18.5,47.8,27.53
"빵, 페이스트리, 치즈",100,374,8,21.9,37.2,6.95
"빵, 피칸파이",100,407,4.5,16.69,59.61,25.18
"케이크, 과일(후르츠)",100,324,2.9,9.1,61.6,27.42
"케이크, 롤 케이크",100,369,7.51,20.22,39.24,17.41
"케이크, 배 케이크",100,296,6.2,10.8,43.5,-
"케이크, 생크림 블루베리",100,280,3.03,18.88,24.39,22.87
"케이크, 쇼튼드 케이크",100,318,-6.9,-15.2,-42.3,-24.3
"케이크, 스폰지 케이크",100,352,6.6,15.2,47.2,-
"케이크, 엔젤푸드 케이크",100,258,5.9,0.8,57.8,-
"케이크, 초콜릿 케이크",100,417,5.23,22.09,49.31,38.19
"케이크, 치즈 케이크",100,331,5.87,21.32,28.82,17.61
"케이크, 파운드 케이크",100,408,5.66,20.71,49.65,17.43
"케이크, 팬케이크",100,227,6.4,9.7,28.3,-
"보리, 겉보리, 도정, 생것",100,349,8.75,1.67,76.89,0.92
"보리, 겉보리, 큰알보리1호, 도정, 생것",100,345,8.13,1.75,76.39,0.72
"보리, 겉보리, 흑수정찰, 도정, 생것",100,352,9.38,1.6,77.39,1.11
"보리, 겉보리, 늘보리, 도정, 생것",100,346,9.79,1.77,75.08,0.5
"보리, 겉보리, 조곡, 생것",100,347,11.01,2.37,72.84,1.42
"보리, 겉보리, 큰알보리1호, 조곡, 생것",100,345,10.39,2.41,72.85,1.43
