식품명,1회제공량,에너지(kcal),단백질(g),지방(g),탄수화물(g),총당류(g)
"김치, 배추 김치, 봄 재배 ",100,39,2.22,0.67,5.95,2.38
"김치, 배추 김치, 여름 재배",100,38,1.84,0.49,6.56,3.22
"김치, 배추 김치, 가을 재배",100,37,1.85,0.54,6.1,3.05
"김치, 백김치",100,16,0.95,0.07,3,1.04
"김치, 열무 김치",100,32,2.4,0.29,4.99,0.48
"김치, 열무 물김치",100,18,1.41,0.07,2.91,1.68
"김치, 오이 소박이",100,37,1.76,0.37,6.66,3.17
"김치, 유채 김치",100,62,3.5,0.8,10.1,-
"김치, 유채 물김치",100,17,1,0.1,3,-
"김치, 총각 김치",100,41,2.02,0.2,7.89,2.68
"김치, 파 김치",100,49,2.5,0.58,8.51,2.8
"김치, 얼갈이배추 김치",100,30,1.88,0.58,4.37,1.15
"꽃양배추(콜리플라워), 생것",100,27,2.17,0.48,4.84,2.28
"꽃양배추(콜리플라워), 데친것",100,26,2.4,0.47,4.62,2.42
"꿀풀(하고초), 생것",100,48,1.6,0.2,11.9,-
"꿀풀(하고초), 말린것",100,309,8.2,4,71.6,-
"날개콩, 미숙, 생것",100,36,1.9,0.2,6.5,-
"냉이, 생것",100,41,4.23,0.27,8.06,1.28
"냉이, 데친것",100,49,5.09,0.5,9.19,0
"누리장나무잎, 생것",100,65,4.5,1,12.7,-
"는쟁이냉이, 생것",100,28,2.5,0.3,5.4,-
"달래, 생것",100,28,1.9,0.22,6.1,1.46
"당귀, 일당귀, 잎, 생것",100,43,3.2,0.4,8.8,-
"당귀, 참당귀, 잎, 생것",100,39,2.6,0.7,7.4,-
"당근, 뿌리, 생것",100,31,1.02,0.13,7.03,6.23
"당근, 뿌리, 데친것",100,31,0.97,0.13,7.01,2.39
당근 주스,100,38,0.44,0.09,10.03,6.87
"당근 주스, 캔",100,40,0.95,0.15,9.28,3.91
"대나무순(죽순), 생것",100,24,3.48,0.22,3.77,1.11
"대나무순(죽순), 데친것",100,30,3.2,0.3,5.5,-
"대나무순(죽순), 삶은것",100,19,2.29,0.28,3.12,0.41
"대나무순(죽순), 삶아서 말린것",100,314,28.31,4.69,57.62,2.27
"대나무순(죽순), 통조림",100,22,2.7,0.2,4,-1.4
"더덕, 뿌리, 생것",100,89,1.91,0.13,21.52,5.01
"더덕, 뿌리, 가루",100,339,11.19,0.77,78.4,15.09
"도라지, 뿌리, 생것",100,56,1.7,0.11,13.08,1.15
"도라지, 뿌리, 데친것",100,49,1.48,0.14,11.35,0.75
"도라지, 뿌리, 말린것",100,324,10.67,0.89,74.59,3.4
"도라지, 뿌리, 가루",100,339,12.53,1.12,76.64,12.27
"돌나물, 생것",100,15,1.19,0.08,3.23,0
"동아, 생것",100,15,0.5,0.1,3.8,-
"동아, 데친것",100,15,0.6,0.1,3.7,-
"두릅, 땅두릅, 생것",100,25,2.4,0.22,4.79,0.81
"두릅, 땅두릅, 잎, 생것",100,43,4.3,0.3,8.5,-
"두릅, 땅두릅, 줄기, 생것",100,17,1.6,0.2,3.1,-
"두릅, 땅두릅, 데친것",100,24,2.3,0.25,4.56,1.08
"두릅, 땅두릅, 잎, 데친것",100,61,6.3,0.8,10.8,-
"두릅, 땅두릅, 줄기, 데친것",100,16,1.5,0.1,3.3,-
"두릅, 참두릅, 생것",100,33,4.13,0.22,5.89,0
"두릅, 참두릅, 잎, 생것",100,46,6.69,0.46,7.32,0.63
"두릅, 참두릅, 줄기, 생것",100,33,3.56,0.24,6.12,1
"두릅, 참두릅, 데친것",100,32,3.49,0.28,5.81,0
"두릅, 참두릅, 잎, 데친것",100,41,5.53,0.51,6.44,0
"두릅, 참두릅, 줄기, 데친것",100,28,2.81,0.28,5.24,0.48
"둥굴레, 잎, 생것",100,52,3.4,0.2,11.7,-
"둥굴레, 잎, 말린것",100,289,16.5,0.9,67.7,-
"들깨, 싹, 생것",100,17,1.7,0.1,2.5,-
"들깻잎, 생것",100,47,4.46,0.5,8.89,0
"들깻잎, 데친것",100,32,3.93,0.6,4.8,0
"들깻잎, 찐것",100,37,4.37,0.55,6.07,0
들깻잎장아찌,100,124,4.03,0.42,26,16.41
"들깻잎장아찌, 통조림",100,76,4.7,1.7,10.4,-
"루꼴라, 생것",100,26,3.17,0.43,4.2,0.97
"리크, 생것",100,54,1.8,0.3,13.2,-
"리크, 데친것",100,28,1.3,0.1,6.8,-2.6
"마늘, 생것",100,128,7.45,0.16,26.42,0.23
"마늘, 데친것",100,135,8.04,0.13,27.69,0.77
"마늘, 통마늘, 구운것",100,169,10.04,0.22,34.6,0.02
"마늘, 말린것",100,333,16.3,0.7,73.3,-
"마늘, 동결건조",100,330,15.3,0.5,73.7,-
"마늘, 난지형, 생것",100,128,7.03,0.12,26.61,0.47
"마늘, 난지형, 데친것",100,138,7.84,0.13,28.59,0
"마늘, 난지형, 통마늘, 구운것",100,147,8.29,0.17,30.42,0.03
"마늘, 난지형, 냉동",100,131,7.38,0.07,27.29,0.12
"마늘, 한지형, 생것",100,129,7.88,0.19,26.23,0
"마늘, 한지형, 데친것",100,132,8.25,0.14,26.78,1.55
"마늘, 한지형, 통마늘, 구운것",100,184,11.8,0.27,38.78,0
"마늘, 한지형, 볶은것",100,165,9.84,1.35,31.26,1.73
"마늘, 깐마늘, 수입산, 생것",100,120,6.99,0.99,22.78,2.26
"마늘, 깐마늘, 수입산, 데친것",100,127,6.74,1.21,24.27,2.4
마늘 장아찌,100,113,2.43,0.16,25.36,15.03
"마늘종, 꽃줄기, 생것",100,53,1.86,0.06,13.39,5.46
"마늘종, 꽃줄기, 데친것",100,59,1.98,0.17,14.82,2.74
마늘종 장아찌,100,118,1.96,0.14,27.34,13.02
"풋마늘, 잎줄기, 생것",100,29,1.9,0.17,7.33,4.01
"풋마늘, 잎줄기, 데친것",100,30,1.82,0.29,7.28,2.31
"마타리, 생것",100,45,2.1,0.1,10.9,-
"머위, 생것",100,17,2.31,0.14,2.74,0.07
"머위, 데친것",100,25,2.17,0.41,4.42,0.17
"머위, 삶은것",100,28,2.44,0.44,5.2,1.81
"머위, 말린것",100,281,17.4,3.7,58.2,-
"머위, 삶아서 말린것",100,278,26.73,4.67,48.62,1.85
"메밀, 싹, 생것",100,24,1.9,1.2,1.9,-
"모링가(드럼스틱), 생것",100,66,4.21,1.38,12.43,2.15
"모시풀, 잎, 생것",100,64,6.61,0.71,11.85,0
"모시풀, 잎, 삶은것",100,49,6.09,1.02,7.24,0
"모시풀, 잎, 서방종, 생것",100,51,4.4,1.36,8.13,1.13
"무, 왜무, 생것",100,15,0.5,0.1,4.1,2.7
"무, 조선무, 생것",100,20,0.67,0.12,4.34,1.79
"무, 조선무, 데친것",100,15,0.53,0.18,3.27,1.85
"무청, 왜무, 생것",100,22,2.3,0.7,2.9,-
"무청, 조선무, 생것",100,31,2.9,0.2,6.1,-
"무청, 시래기, 말린것, 삶은것",100,23,1.58,0.27,4.68,0
"무순, 싹, 생것",100,20,1.89,1.01,1.82,0.67
"무 절임, 단무지",100,12,0.36,0.05,2.42,0.55
"무 절임, 쌈무",100,15,0.54,0.03,3.1,1.46
"무 절임, 치킨무",100,22,0.44,0.21,4.89,3.54
"무말랭이, 말린것",100,318,13.59,0.3,65.34,19.91
무말랭이 무침,100,131,2.25,0.61,29.24,16.75
무국물,100,1,-,0,0.3,-
"물냉이, 생것",100,23,3.5,0.1,3.7,-
"물쑥, 생것",100,36,5.4,0.3,5.6,-
"물쑥, 데친것",100,47,1.9,0.1,11.7,-
"미나리, 돌미나리, 생것",100,21,2.2,0.2,3.8,-
"미나리, 돌미나리, 데친것",100,19,2.3,0.2,3.2,-
"미나리, 물미나리, 생것",100,22,1.81,0.25,4.45,2.69
"미나리, 물미나리, 데친것",100,25,2.04,0.32,4.82,1.64
"미나리, 물미나리, 잎, 생것",100,30,2.84,0.4,5.62,1.26
"미나리, 물미나리, 줄기, 생것",100,22,0.9,0.16,5.15,1.43
"미나리, 농축",100,120,0.36,0,33.48,28.49
"민들레, 생것",100,29,2.44,0.44,5.48,0
"민들레, 데친것",100,30,2.18,0.51,5.74,0
"바젤라, 생것",100,11,0.7,0.2,2.6,-
"바젤라, 데친것",100,12,0.9,0.2,3.2,-
"바질, 잎, 생것",100,32,2.43,0.71,5.56,0.8
"바질, 잎, 데친것",100,34,2.81,0.7,5.9,0.37
"박, 과육, 생것",100,21,0.5,0.1,5.2,-
"박, 생것, 씨 포함",100,32,1,0.1,8,-
"박고지, 말린것",100,268,7.6,0.4,69,-
"박쥐나무, 잎, 생것",100,100,6.7,1.2,20.7,-
"방가지똥, 생것",100,46,2.5,0.4,10.3,-
"방울다다기양배추, 생것",100,49,3.28,0.16,11.17,3.55
"방울다다기양배추, 데친것",100,51,5.3,0.1,9.8,-4.1
"배암차즈기(곰보배추), 잎, 생것",100,25,1.73,0.62,4.5,1.44
"배초향(방아), 잎, 생것",100,55,4.87,0.46,11.13,1.52
"배추, 싹, 생것",100,63,3.4,4.3,5.3,-
"배추, 생것",100,15,1.25,0.04,3.2,1.75
"배추, 봄 재배, 생것",100,13,1.61,0.07,2.28,0.94
"배추, 여름 재배, 생것",100,17,0.9,0.02,3.99,1.99
"배추, 가을 재배, 생것",100,15,1.25,0.05,3.35,2.33
"배추, 데친것",100,17,1.4,-,3.9,-
"배추, 삶은것",100,15,1.16,0.14,3.04,1.13
"배추, 봄 재배, 삶은것",100,14,1.39,0.12,2.61,0.85
"배추, 여름 재배, 삶은것",100,17,0.85,0.23,3.53,1.01
"배추, 가을 재배, 삶은것",100,14,1.25,0.06,2.94,1.55
"배추, 염절임",100,17,1.34,0.07,3.62,2.08
"배추, 봄 재배, 염절임",100,15,1.63,0.09,2.89,1.44
"배추, 여름 재배, 염절임",100,17,1.03,0.05,4.04,2.26
"배추, 가을 재배, 염절임",100,18,1.35,0.06,3.9,2.55
"배추, 노랑봄배추(노지), 생것",100,13,1,-,3,-
"배추, 노랑봄배추(노지), 데친것",100,17,1.2,-,3.9,-
"배추, 노랑봄배추(노지), 염절임",100,16,1.1,0.1,3.6,-
"배추, 노랑봄배추(하우스), 생것",100,12,1,0,2.6,-
"배추, 노랑봄배추(하우스), 데친것",100,15,1,-,3.4,-
"배추, 노랑봄배추(하우스), 염절임",100,15,1,-,3.4,-
"배추, 불암 3호(노지), 생것",100,23,0.9,0.1,5.7,-
"배추, 불암 3호(노지), 데친것",100,33,1.3,0.1,8.2,-
"배추, 불암 3호(노지), 염절임",100,30,1.2,0.1,7.4,-
"배추, 불암 3호(하우스), 생것",100,13,1,0.1,2.8,-
"배추, 불암 3호(하우스), 데친것",100,18,1.3,0.1,3.8,-
"배추, 불암 3호(하우스), 염절임",100,18,1.1,0.1,4,-
"배추, 시래기, 말린것",100,278,14.38,3.89,58.92,25.52
"배추, 시래기, 말린것, 삶은것",100,23,1.68,0.24,4.6,0.12
"배추, 유기재배, 생것",100,14,1.1,0,3.2,-
"배추, 봄동, 생것",100,23,2.02,0.17,4.78,2.45
"배추, 봄동, 데친것",100,22,1.84,0.18,4.54,2.01
"배추, 얼갈이배추, 생것",100,14,1.22,0.08,2.78,0.55
"배추, 얼갈이배추, 데친것",100,14,2,0.14,2.17,0.89
"배추, 얼갈이배추, 염절임",100,15,1.91,0.11,2.5,0.59
"백모근, 뿌리, 말린것",100,337,9,2,77,-
"백합, 뿌리, 생것",100,118,3.34,1.52,24.91,0.44
"보리, 순, 가루",100,314,26.6,4.8,58.5,-
"보리, 쌀보리, 순, 생것",100,24,2,0.3,4.6,-
"보리, 올보리, 순, 생것",100,66,3.1,1.1,13.9,-
"보리, 큰알보리, 순, 생것",100,24,2.91,0.27,3.99,0.52
"보리, 큰알보리, 순, 동결건조",100,283,28.3,3.39,51.96,2.83
"뽕잎, 생것",100,65,6.28,0.5,12.82,2.47
"뽕잎, 삶은것",100,48,4.86,0.53,9,0.41
"뽕잎, 삶아서 말린것",100,279,26.22,2.98,53.22,0
"뽕잎, 삶아서 말린것, 삶은것",100,51,5.9,0.55,8.92,0.1
"부지갱이(섬쑥부쟁이), 생것",100,30,3.65,0.43,4.9,1.21
"부지갱이(섬쑥부쟁이), 데친것",100,33,4,0.65,4.92,0.61
"부지갱이(섬쑥부쟁이), 말린것",100,258,25.7,2,50,-
"부지갱이(섬쑥부쟁이), 삶아서 말린것",100,296,25.09,2.88,59.07,5.2
"부지갱이(섬쑥부쟁이), 삶아서 말린것, 삶은것",100,48,5.17,0.68,8.24,0.38
"부추, 두메부추, 생것",100,46,1.2,0.1,11.9,-
"부추, 산부추, 생것",100,41,3.5,0.1,8.8,-
"부추, 재래종, 생것",100,22,1.8,0.3,4.1,-
"부추, 재래종, 데친것",100,20,2.3,0.2,3.6,-
"부추, 호부추, 생것",100,30,2.06,0.33,6.23,2.86
"부추, 호부추, 데친것",100,32,2.37,0.35,6.42,2.39
"브로콜리, 생것",100,32,3.08,0.2,6.32,0.79
"브로콜리, 데친것",100,28,2.8,0.31,5.34,0.4
"브로콜리, 삶은것",100,30,3.9,0.4,5.2,1.2
"브로콜리, 싹, 생것",100,31,3.81,0.92,3.8,0.91
"브로콜리, 잎, 생것",100,38,2.2,0.4,8.1,-
"브로콜리, 잎, 말린것",100,258,15.4,2.8,55.3,-
"브로콜리, 잎, 삶아서 말린것",100,271,17.4,1.8,59.8,-
"브로콜리, 가루",100,284,17.5,3.9,58.4,-
"비비추(이밥추), 생것",100,48,3,0.6,10.1,-
"비타민채(다채), 생것",100,14,2.1,0.2,2,-
"비타민채(다채), 어린잎, 생것",100,15,2.26,0.5,1.44,0
"비트, 뿌리, 생것",100,26,1.56,0.14,5.26,2.87
"비트, 뿌리, 데친것",100,23,1.28,0.13,4.66,2.82
"비트 피클, 통조림",100,65,0.8,0.08,16.28,11.05
"비트, 잎, 생것",100,16,2.2,0.1,2.8,-
"비트, 잎, 데친것",100,15,2.3,0.2,2.2,-
"비트, 어린잎, 생것",100,21,2.85,0.42,2.91,0.15
"사탕무, 생것",100,77,1.8,0,18.7,-
"사탕수수, 생것",100,77,1.1,0,20.9,-
"산마늘(명이나물), 생것",100,36,2.02,0.21,8.21,3.8
"산마늘(명이나물), 데친것",100,37,2.08,0.31,8.29,2.99
산마늘(명이나물)장아찌,100,55,2.37,0.62,12.2,7.83
"삼나물, 말린것",100,293,22.8,2.2,61.3,-
"삼붕냐와, 생것",100,27,1.62,1.09,3.84,0.24
"삼채, 뿌리, 생것",100,49,0.77,0.04,12.15,3.21
"삼채, 잎, 생것",100,24,1.95,0.2,4.8,1.82
"삼채, 줄기, 생것",100,19,0.78,0.09,4.65,1.31
"삼채, 잎줄기, 생것",100,23,1.55,0.13,4.99,0.81
"삼채, 잎줄기, 데친것",100,28,2.04,0.27,5.77,0
"상추, 잎상추, 치마상추, 녹색, 생것",100,20,1.88,0.36,3.48,1.22
"상추, 잎상추, 적색, 생것",100,19,1.42,0.28,3.69,1.17
"상추, 잎상추, 뚝섬적축면, 적색, 생것",100,14,1.1,0.3,2.4,-
"상추, 잎상추, 롤로로사, 적색, 생것",100,20,1.1,0.2,4.5,-
"상추, 잎상추, 적하계, 적색, 생것",100,19,1.7,0.2,3.7,-
"상추, 잎상추, 축면상추, 적색, 생것",100,15,1.31,0.21,2.79,1.03
"상추, 잎상추, 치마상추, 적색, 생것",100,23,1.53,0.36,4.59,1.31
"상추, 반결구, 로메인, 녹색, 생것",100,23,1.78,0.32,4.59,0.87
"상추, 반결구, 아시아아이스, 녹색, 생것",100,24,1.8,0.6,4,-
"상추, 반결구, 천상, 녹색, 생것",100,17,1.2,0.3,3.2,-
"상추, 반결구, 로메인, 적색, 생것",100,17,2.28,0.22,2.72,0.15
"상추, 결구(양상추), 녹색, 생것",100,15,1.06,0.1,3.35,2.17
"상추, 결구, 아담, 녹색, 생것",100,9,0.9,0.2,1.3,-
"상추, 결구, 유레이크, 녹색, 생것",100,16,0.8,0.2,3.5,-
"상추, 결구, 풍성, 녹색, 생것",100,10,0.6,0.1,2.1,-
"생강, 뿌리줄기, 생것",100,42,0.97,0.15,9.82,0.45
"생강, 뿌리줄기, 수입산, 생것",100,38,1.3,0.3,8.4,-
"생강, 편강, 당조림",100,364,0.7,0.86,88.35,19.9
생강 피클,100,15,0.3,0.2,3.9,-
"선인장, 보검선인장, 열매, 생것",100,83,0.97,0.19,19.35,2.53
"선인장, 보검선인장, 줄기, 생것",100,34,1.03,0.12,7.15,0.43
"선인장, 저단선인장, 열매, 생것",100,91,0.8,0.38,21,6
"선인장, 저단선인장, 줄기, 생것",100,75,0.75,0.15,17.76,0
"섬초롱, 생것",100,41,3,0.4,8.5,-
"섬초롱, 데친것",100,34,2,0.2,7.6,-
"셀러리, 생것",100,17,1.04,0.07,3.95,0
"셀러리, 데친것",100,17,1.1,0.12,3.81,0
"소리쟁이, 잎, 말린것",100,259,21.7,2.2,52.6,-
"쇠귀나물, 뿌리, 생것",100,128,6.3,0.1,26.6,-
"쇠귀나물, 뿌리, 데친것",100,129,6.2,0.1,27.2,-
"수리취(떡취), 생것",100,64,3.9,0.2,14.7,-
"숙주나물, 생것",100,13,1.73,0.05,2.34,0
"숙주나물, 데친것",100,12,2.2,0.2,1.4,-
"숙주나물, 찐것",100,16,1.96,0.11,2.9,0
"순무, 전체, 생것",100,27,1.5,0.09,5.65,1.93
"순무, 전체, 데친것",100,28,1.32,0.09,6.04,2.3
"순무, 뿌리, 생것",100,30,1.1,0.07,6.88,3.7
"순무, 뿌리, 데친것",100,33,1.28,0.09,7.51,2.98
"순무, 뿌리, 염절임",100,21,1,0.2,4.9,-
"순무, 잎, 생것",100,21,2.05,0.17,4.14,0.12
"순무, 잎, 데친것",100,20,1.58,0.18,4.17,0
"순무, 잎, 염절임",100,27,2.3,0.2,6,-
"스테비아, 생것",100,40,2.4,0.32,8.71,0
"스테비아, 말린것",100,303,14.2,2,70.5,-
"시금치, 생것",100,29,3.35,0.39,4.86,0.4
"시금치, 노지, 생것",100,29,4.15,0.43,4.4,0
"시금치, 하우스, 생것",100,27,2.6,0.33,5.08,1.6
"시금치, 섬초, 생것",100,24,3.11,0.34,3.76,0
"시금치, 포항초, 생것",100,35,3.56,0.46,6.22,0
"시금치, 데친것",100,34,4.02,0.61,5.26,0.16
"시금치, 노지, 데친것",100,37,4.78,0.79,5.21,0
"시금치, 하우스, 데친것",100,32,3.01,0.49,5.84,0.63
"시금치, 섬초, 데친것",100,32,4.12,0.55,4.8,0
"시금치, 포항초, 데친것",100,34,4.19,0.63,5.19,0
"신선초(명일엽), 생것",100,24,1.08,0.14,5.66,1.95
"쌈추, 생것",100,25,3.07,0.23,4.29,0
"쌈추, 싸미나, 생것",100,20,2.7,0.3,3,-
"쑥, 생것",100,37,3.4,0.38,7.04,0
"쑥, 데친것",100,39,3.71,0.63,6.79,0
"쑥, 말린것",100,272,25.8,2.05,53.8,0.16
"쑥, 사자발쑥, 생것",100,56,2.6,0.5,12.7,-
"쑥, 사자발쑥, 데친것",100,55,1.9,0.3,13.3,-
"쑥갓, 생것",100,15,1.93,0.17,2.35,0
"쑥갓, 데친것",100,21,2.1,0.3,3.8,0
"쑥부쟁이, 생것",100,26,2.92,0.72,3.53,0.08
"씀바귀, 생것",100,43,2.9,0.4,9.2,-
"씀바귀, 데친것",100,31,2.6,0.2,6.3,-
"씀바귀, 뿌리, 생것",100,71,2.54,0.13,16.24,5.05
"아스파라거스, 생것",100,17,2.02,0.34,2.53,1.35
"아스파라거스, 데친것",100,17,2.08,0.19,2.81,1.24
"아스파라거스, 통조림",100,14,1.1,0.1,3,-
"아스파라거스, 하얀색, 생것",100,21,1.85,0.53,3.51,3.49
"아욱, 생것",100,37,3.08,0.31,7.64,0
"아욱, 데친것",100,31,3.52,0.49,5.2,0
"아이비카, 닥풀, 말린것",100,260,27.7,4.4,43.7,-
"아주까리, 순, 말린것",100,287,36.8,3.1,48,-
"아주까리, 잎, 생것",100,82,5.8,0.5,17.8,-
"아티초크, 생것",100,47,3.27,0.15,10.51,0.99
"아티초크, 삶은것",100,53,2.89,0.34,11.95,0.99
"아티초크, 냉동",100,38,2.63,0.43,7.75,-
"아티초크, 냉동, 삶은것",100,45,3.11,0.5,9.18,0.84
"알로에, 과육, 생것",100,3,0.1,-,0.7,-
알로에 음료,100,40,0,0,11.09,9.21
"알팔파, 싹, 생것",100,21,3.53,0.2,3.14,0.34
"양배추, 생것",100,33,1.68,0.08,7.92,4.79
"양배추, 데친것",100,32,1.71,0.12,7.56,5.2
"양배추, 찐것",100,32,1.68,0.12,7.41,4.24
"양배추, 적색, 생것",100,41,2.13,0.21,9.53,4.77
"양배추, 적색, 싹, 생것",100,39,3.38,1.77,4.6,0.73
"양배추 샐러드, 코울슬로",100,153,0.95,9.91,14.89,12.19
"양파, 생것",100,29,0.95,0.04,6.67,5.74
"양파, 데친것",100,29,0.84,0.04,6.97,4.56
"양파, 말린것",100,340,11.7,1,78,-
"양파, 수입산, 생것",100,30,0.9,0.1,7,-
"양파, 자색 양파, 생것",100,32,0.75,0.02,7.81,3.31
"양파, 레드프라임, 생것",100,37,0.46,0.63,8.56,6.56
"양파, 썬파워, 생것",100,32,0.52,0.47,7.38,6
"양파, 샬롯, 생것",100,80,2.28,2.54,14.84,2.1
"양파링, 튀김옷, 냉동",100,258,3.15,14.1,30.53,-
"양파링, 튀긴것(튀김옷)",100,411,3.86,25.23,43.58,5.43
양파 장아찌,100,85,1.59,0.05,20.99,15.24
"양하, 생것",100,13,0.6,0.1,2.8,-
"어수리, 생것",100,31,4.4,0.3,5,-
"어수리, 잎, 생것",100,45,2.4,0.3,10.4,-
"음나무(엄나무), 잎, 생것",100,41,6.94,0.67,5.2,0.36
"음나무(엄나무), 잎, 데친것",100,37,7.05,0.75,3.86,0
"엉겅퀴, 말린것",100,267,22.4,1.6,55.6,-
"엉겅퀴, 삶아서 말린것",100,279,27.4,2.2,54.2,-
"여주(고야), 생것",100,22,1.28,0.36,4.48,0.36
"연근, 생것",100,75,1.63,0.07,17.28,1.81
"연근, 데친것",100,62,1.07,0.08,14.41,0.59
연근 조림,100,261,2.1,1.3,60.2,-
"열대비름(아마란스), 잎, 생것",100,45,5.8,0.9,6.5,-
"열대비름(아마란스), 어린잎, 생것",100,21,2.99,0.35,3.11,0
"열무, 생것",100,14,2.08,0.21,1.99,0
"열무, 데친것",100,19,2.69,0.25,2.95,0
"염교(락교), 뿌리줄기, 생것",100,83,1.4,0.2,29.3,-
염교(락교),100,93,0.52,1,21.79,18.72
"영아자, 생것",100,34,2.5,0.1,7.7,-
"영아자, 데친것",100,36,2.5,0.2,7.8,-
"영아자, 말린것",100,278,23.8,3.1,54.4,-
"오이, 겨울살이청장, 생것",100,13,0.8,0,3.1,-
"오이, 늙은오이, 생것",100,9,1.19,0.03,1.71,0.85
"오이, 다다기, 생것",100,14,1.22,0.02,3.05,1.38
"오이, 취청, 생것",100,13,1.15,0.03,2.81,1.47
오이 피클,100,91,0.38,0.12,25.07,22.69
"오이지, 염절임",100,10,0.63,0.12,2.1,1.07
"오크라, 생것",100,26,2.1,0.2,6.6,1.9
"오크라, 데친것",100,29,2.1,0.1,7.6,-2.1
"옥수수, 순, 생것",100,40,1.7,0.3,8.2,-
"우엉, 생것",100,69,2.61,0.06,15.29,2.87
"우엉, 데친것",100,52,1.88,0.09,11.34,0.69
"우엉, 장조림",100,149,2.1,0.3,34.37,17.4
"울금, 뿌리줄기, 생것",100,87,1.79,2.56,15.73,3.83
울외장아찌,100,67,5.1,0.3,13.1,-
"원추리, 생것",100,35,3.55,0.36,6.48,2.51
"원추리, 데친것",100,28,3.22,0.29,5.09,1.78
"유채, 싹, 생것",100,78,3.4,4.6,6.8,-
"유채, 잎, 생것",100,30,3.89,0.31,4.98,0.58
"유채, 잎, 데친것",100,29,4.36,0.38,4.15,0.49
"유채, 동채, 생것",100,29,4.13,0.32,4.6,0.6
"유채, 동채, 데친것",100,31,4.45,0.4,4.6,0.62
"유채, 잎줄기, 생것",100,36,4.1,0.4,6,-
"유채, 잎줄기, 데친것",100,30,3.6,0.4,5.3,-
"잇꽃(홍화), 잎, 생것",100,45,3.9,0.4,9,-
"자운영, 생것",100,40,4.6,0.6,6.6,-
"잔대, 뿌리, 생것",100,79,2.1,0.2,18.6,-
"잔대, 순, 생것",100,55,3.4,0.9,9.9,-
"적양무, 어린잎, 생것",100,19,2.54,0.42,2.54,0.22
"전호, 생것",100,23,3.1,0.1,4.2,-
"제비쑥, 생것",100,35,4.5,0.7,5,-
"조뱅이, 생것",100,47,4,0.2,10.1,-
"줄나물, 말린것",100,236,29.7,1.7,41.9,-
"진달래꽃, 생것",100,26,1,0.1,6.3,-
"질경이, 생것",100,48,3,0.2,10.8,-
"질경이, 데친것",100,45,2.4,0.1,10.7,-
"참나물, 야생, 생것",100,39,3.5,0.4,7.6,-
"참나물, 야생, 말린것",100,309,5.9,3.5,74.3,-
"참나물, 재배, 생것",100,20,1.58,0.19,4.09,0
"참나물, 재배, 데친것",100,22,1.39,0.23,4.54,0
"참나물, 재배, 말린것",100,308,8.5,3.8,71.6,-
"참반디, 말린것",100,288,12.6,2.7,65.7,-
"참빗살나무, 잎, 생것",100,61,7.4,0.7,10.3,-
"참죽나물(가죽나물), 생것",100,48,5.8,0.39,8.59,0.78
"참죽나물(가죽나물), 데친것",100,46,5.39,0.51,8.1,0.57
"참죽나물, 말린것",100,280,27.9,1,57,-
"참죽나물(가죽나물), 삶아서 말린것",100,269,34.44,3.13,44.54,6.8
"참죽나물(가죽나물), 삶아서 말린것, 삶은것",100,52,7.28,0.74,7.89,0.38
"청경채, 생것",100,10,1.41,0.09,1.64,0
"청경채, 데친것",100,11,1.6,0.13,1.81,0
"청경채, 어린잎, 생것",100,16,2.59,0.32,1.86,0.29
"초석잠, 뿌리, 생것",100,76,2.3,0.56,17,0.17
"총각무, 전체, 생것",100,22,1.38,0.07,5.18,2.19
"총각무, 뿌리, 생것",100,30,1.16,0.05,6.99,3.34
"총각무, 잎, 생것",100,24,1.97,0.34,4.59,0.61
"취나물, 개미취, 생것",100,53,4.2,0.3,11.3,-
"취나물, 곰취, 생것",100,32,3.04,0.49,5.77,1.1
"취나물, 곰취, 데친것",100,35,3.28,0.64,6.09,0.3
"취나물, 곰취, 야생, 말린것",100,307,5.1,4.9,71.1,-
"취나물, 곰취, 재배, 말린것",100,306,8,4.7,69.2,-
"취나물, 미역취, 생것",100,48,3.7,0.6,9.6,-
"취나물, 참취, 생것",100,51,2.61,0.38,11.66,2.55
"취나물, 참취, 데친것",100,49,2.77,0.5,10.54,0.63
"취나물, 참취, 말린것",100,265,22.2,2.3,53.6,-
"취나물, 참취, 말린것, 삶은것",100,55,3,0.5,12.3,-
"취나물, 참취, 삶아서 말린것",100,299,26.85,3.67,56.82,3.43
"취나물, 참취, 삶아서 말린것, 데친것",100,49,4.9,0.97,8.22,0
"치커리, 뿌리, 생것",100,72,1.4,0.2,17.51,8.73
"치커리, 잎, 생것",100,16,1.7,0.21,2.95,0
"치커리, 잎, 적색, 생것",100,25,2.3,0.2,5,-
"치커리, 치콘, 생것",100,14,1.19,0.25,2.62,-
"케일, 생것",100,26,3.11,0.24,4.61,0
"케일, 꽃케일, 생것",100,33,3.3,0.2,6.5,-
"케일, 로얄채, 생것",100,49,2.7,0.3,11.1,-
"케일, 꽃케일, 적색, 생것",100,31,3.1,0.3,5.8,-
"케일, 하우스, 생것",100,22,2,0.3,4.2,-
"콜라비, 생것",100,22,1.16,0.05,5.16,1.55
"콜라비, 데친것",100,20,1,Tr,5.2,-2.3
"콩나물, 생것",100,36,4.64,1.36,3.8,0.35
"콩나물, 삶은것",100,33,4.52,1.51,2.55,0.62
"콩나물, 말린것",100,406,45.7,10.8,32.5,-
