식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
우롱밀크티 + 코코넛J,624,365.4,1.2,-,-,39.9
청포도그린티에이드 + 알로에L,454,202.6,0.5,-,-,6.4
청포도그린티에이드 + 알로에J,624,268.6,0.7,-,-,6.4
자스민 그린티 (ice)L,454,4.4,0.2,-,-,0
자스민 그린티 (hot)L,397,6,0.4,-,-,0
자스민 그린티 (ice)J,624,6,0.3,-,-,0
자스민 그린티 (hot)J,454,6.8,0.4,-,-,0
우롱티 (ice)L,454,2.1,0.1,-,-,0
우롱티 (hot)L,397,4.3,0.4,-,-,0
우롱티 (ice)J,624,2.9,0.2,-,-,0
우롱티 (hot)J,454,4.8,0.4,-,-,0
블랙티?(ice)L,454,4.4,0.7,-,-,0
블랙티?(hot)L,397,6.4,1,-,-,0
블랙티?(ice)J,624,6,0.9,-,-,0
블랙티?(hot)J,454,7.2,1.2,-,-,0
얼그레이티 (ice)L,454,4.7,0.9,-,-,0
얼그레이티 (hot)L,397,6.1,0.4,-,-,0
얼그레이티 (ice)J,624,6.5,1,-,-,0
얼그레이티 (hot)J,454,7,0.5,-,-,0
밀크폼 그린티 (ice)L,454,97.7,0.9,-,-,2.7
밀크폼 그린티 (hot)L,397,99.3,1.1,-,-,2.7
밀크폼 그린티 (ice)J,624,130.4,1.2,-,-,3.6
밀크폼 그린티 (hot)J,454,131.2,1.3,-,-,3.6
밀크폼 우롱티 (ice)L,454,95.4,0.8,-,-,2.7
밀크폼 우롱티 (hot)L,397,97.6,1.1,-,-,2.7
밀크폼 우롱티 (ice)J,624,127.3,1.1,-,-,3.6
밀크폼 우롱티 (hot)J,454,129.2,1.3,-,-,3.6
밀크폼 블랙티 (ice)L,454,97.7,1.4,-,-,2.7
밀크폼 블랙티 (hot)L,397,99.7,1.7,-,-,2.7
밀크폼 블랙티 (ice)J,624,130.4,1.8,-,-,3.6
밀크폼 블랙티 (hot)J,454,131.6,2.1,-,-,3.6
밀크폼 얼그레이티 (ice)L,454,98,1.6,-,-,2.7
밀크폼 얼그레이티 (hot)L,397,99.4,1.1,-,-,2.7
밀크폼 얼그레이티 (ice)J,624,130.9,1.9,-,-,3.6
밀크폼 얼그레이티 (hot)J,454,131.4,1.4,-,-,3.6
밀크폼 윈터멜론티 (ice)L,454,316.1,0.6,-,-,93.6
밀크폼 윈터멜론티 (hot)L,397,309.3,0.8,-,-,54.2
밀크폼 윈터멜론티 (ice)J,624,439.3,0.9,-,-,128.5
밀크폼 윈터멜론티 (hot)J,454,336.3,0.9,-,-,60.6
그린 밀크티 (ice)L,454,205.6,1.4,-,-,31.5
그린 밀크티 (hot)L,397,99.4,5,-,-,6.8
그린 밀크티 (ice)J,624,283.3,1.9,-,-,43.4
그린 밀크티 (hot)J,454,111.8,5.6,-,-,7.7
우롱 밀크티 (ice)L,454,230.4,0.9,-,-,20.7
우롱 밀크티 (hot)L,397,68.7,5.3,-,-,6.1
우롱 밀크티 (ice)J,624,317.4,1.2,-,-,28.5
우롱 밀크티 (hot)J,454,77.31,6,-,-,6.9
블랙 밀크티 (ice)L,454,265,0.9,-,-,40.9
블랙 밀크티 (hot)L,397,75.7,5.4,-,-,6.3
블랙 밀크티 (ice)J,624,365,1.2,-,-,56.4
블랙 밀크티 (hot)J,454,85.2,6.1,-,-,7.1
얼그레이 밀크티 (ice)L,454,240.3,1.4,-,-,17.1
얼그레이 밀크티 (hot)L,397,81,5.3,-,-,6.2
얼그레이 밀크티 (ice)J,624,331,1.9,-,-,23.5
얼그레이 밀크티 (hot)J,454,91.2,5.9,-,-,7
윈터멜론 밀크티 (ice)L,454,233.1,3.1,-,-,48.6
윈터멜론 밀크티 (hot)L,397,207.4,4.6,-,-,36.8
윈터멜론 밀크티 (ice)J,624,321.1,4.3,-,-,66.9
윈터멜론 밀크티 (hot)J,454,233.3,5.2,-,-,41.4
타로 밀크티 (ice)L,454,231.7,0.9,-,-,43.6
타로 밀크티 (hot)L,397,284.5,1.1,-,-,6.1
타로 밀크티 (ice)J,624,319.3,1.2,-,-,60.1
타로 밀크티 (hot)J,454,320,1.2,-,-,6.9
초콜렛 밀크티 (ice)L,454,158.4,1.8,-,-,22
초콜렛 밀크티 (hot)L,397,237.7,2.2,-,-,3.1
초콜렛 밀크티 (ice)J,624,218.2,2.5,-,-,30.3
초콜렛 밀크티 (hot)J,454,267.4,2.5,-,-,3.6
자몽 그린티 에이드L,454,68.4,0.9,-,-,35.5
자몽 그린티 에이드J,624,94.2,1.2,-,-,48.9
망고 그린티 에이드L,454,169.2,1.2,-,-,35.9
망고 그린티 에이드J,624,232.6,1.7,-,-,49.3
청포도 그린티 에이드L,454,176.4,0.5,-,-,0
청포도 그린티 에이드J,624,242.4,0.5,-,-,0
레몬 그린티 에이드L,454,146.7,0.7,-,-,34.5
레몬 그린티 에이드J,624,201.7,1,-,-,46.8
허니 레몬티?(ice)L,454,141.1,0.6,-,-,31.6
허니 레몬티?(hot)L,397,164.6,0.5,-,-,40
허니 레몬티?(ice)J,624,194,0.8,-,-,43.4
허니 레몬티?(hot)J,454,188.3,0.5,-,-,45.8
허니 자몽티 (ice)L,454,161.5,1.4,-,-,37.8
허니 자몽티?(hot)L,397,187.7,0.8,-,-,42.6
허니 자몽티 (ice)J,624,222,1.9,-,-,51.9
허니 자몽티?(hot)J,454,214.7,0.9,-,-,48.8
망고 주스L,454,142.2,0,-,-,54.4
망고 주스J,624,195.9,0,-,-,75
망고 요구르트L,454,178.6,0.5,-,-,73.8
망고 요구르트J,624,246.1,0.6,-,-,101.6
레몬 요구르트L,454,226.8,0.9,-,-,53.5
레몬 요구르트J,624,312.4,1.2,-,-,73.7
망고 스무디 (ice)L,454,294.3,1.26,-,-,55.6
초코 쿠앤크 스무디?(ice)L,454,412.2,5.4,-,-,53.1
밀크 쿠앤크 스무디 (ice)L,454,391.9,2.3,-,-,50.8
청포도 스무디 (ice)L,454,281.6,0.2,-,-,61.5
치즈폼 딥초코 스무디(ice)L,454,430.4,3.3,-,-,27.6
블랙 밀크티 크러쉬L,454,344.4,1.8,-,-,29.4
커피 밀크티 크러쉬+펄 (ice)L,454,361.2,1.5,-,-,27.9
커피 밀크티 크러쉬+밀크폼 (ice)L,454,401.8,2.2,-,-,26.8
제주 그린티 스무디L,454,452.2,1,-,-,47.1
레몬요구르트스무디 (ice)L,454,234,1.4,-,-,82.3
타로 스무디 (ice)L,454,274,0,-,-,45.9
아메리카노 (ice)L,454,11,0.9,-,-,0
아메리카노 (hot)L,397,14.4,0.8,-,-,0
얼그레이 아메리카노 (ice)L,454,9.9,1.1,-,-,0
얼그레이 아메리카노 (hot)L,397,13.8,1.1,-,-,0
카페라떼 (ice)L,454,112.7,5.4,-,-,5.1
카페라떼 (hot)L,397,187.5,8.4,-,-,7.6
딥모카 카페라떼 (ice)L,454,359.7,7.9,-,-,23.3
딥모카 카페라떼 (hot)L,397,453.9,10.5,-,-,28.1
딥바닐라 카페라떼 (ice)L,454,215.8,6.2,-,-,22.8
딥바닐라 카페라떼 (hot)L,397,347.1,10.9,-,-,34.6
더블 그린 카페라떼 (ice)L,454,212,4.5,-,-,15.2
더블 그린 카페라떼 (hot)L,397,324.4,8.9,-,-,20.5
밀크폼,30,93.3,0.7,-,-,2.7
펄,60,98.6,0.1,-,-,6.1
코코넛,40,48,0,-,-,11.4
알로에,40,26.2,0,-,-,6.4
화이트펄,40,37,0,-,-,9.1
과당시럽,10,32.4,0,-,-,7.6
망고쥬얼리,42,50.4,0.1,-,-,0
딸기쥬얼리,42,57.5,0.1,-,-,0
치즈폼,33,97.9,0.7,-,-,3.6
해바라기초코볼,6,32.3,0.7,-,-,2.6
나이트로 바닐라 크림,355,75,1,-,-,10
나이트로 쇼콜라 클라우드,355,55,1,-,-,7
나이트로 콜드 브루,355,5,0,-,-,0
돌체 콜드 브루,355,265,8,-,-,29
바닐라 크림 콜드 브루,355,125,3,-,-,11
콜드 브루,355,5,0,-,-,0
콜드 브루 몰트,355,510,10,-,-,40
콜드 브루 플로트,355,230,3,-,-,18
콜드 폼 콜드 브루,355,105,5,-,-,20
아이스 커피,355,5,0,-,-,0
오늘의 커피,355,5,0,-,-,0
단호박 라떼 위드 샷,355,355,10,-,-,40
블랙 글레이즈드 라떼,355,410,11,-,-,36
아이스 단호박 라떼 위드 샷,355,265,6,-,-,33
아이스 블랙 글레이즈드 라떼,355,320,7,-,-,29
에스프레소 콘 파나,22,30,0,-,-,1
에스프레소 마키아또,22,10,1,-,-,0
아이스 카페 아메리카노,355,10,1,-,-,0
카페 아메리카노,355,10,1,-,-,0
아이스 카라멜 마키아또,355,190,7,-,-,22
카라멜 마키아또,355,200,8,-,-,22
아이스 카푸치노,355,115,6,-,-,9
카푸치노,355,110,6,-,-,8
라벤더 카페 브레베,355,406,7,-,-,30
럼 샷 코르타도,237,70,3,-,-,8
스타벅스 돌체 라떼,355,255,12,-,-,39
아이스 라벤더 카페 브레베,355,335,6,-,-,27
아이스 스타벅스 돌체 라떼,355,230,10,-,-,35
아이스 카페 라떼,355,110,6,-,-,8
카페 라떼,355,180,10,-,-,13
아이스 카페 모카,355,250,7,-,-,21
아이스 화이트 초콜릿 모카,355,350,8,-,-,41
카페 모카,355,290,10,-,-,25
화이트 초콜릿 모카,355,390,12,-,-,45
리스트레토 비안코,355,190,10,-,-,14
바닐라 스타벅스 더블 샷,207,125,2,-,-,14
블론드 리스트레토 마키아또,355,265,9,-,-,33
블론드 에스프레소 토닉,355,80,1,-,-,17
아이스 블론드 리스트레토 마키아또,355,215,6,-,-,28
에스프레소,22,5,0,-,-,0
카라멜 스타벅스 더블 샷,207,125,3,-,-,14
커피 스타벅스 더블 샷,207,125,3,-,-,14
클래식 아포가토,355,225,3,-,-,18
헤이즐넛 스타벅스 더블 샷,355,125,3,-,-,14
모카 프라푸치노,355,280,5,-,-,36
에스프레소 프라푸치노,355,140,3,-,-,22
이천 햅쌀 커피 프라푸치노,355,270,5,-,-,41
자바 칩 프라푸치노,355,340,6,-,-,42
카라멜 프라푸치노,355,300,4,-,-,39
화이트 초콜릿 모카 프라푸치노,355,320,5,-,-,43
그린 티 크림 프라푸치노,355,290,5,-,-,42
바닐라 크림 프라푸치노,355,310,9,-,-,38
이천 햅쌀 크림 프라푸치노,355,240,5,-,-,33
제주 까망 크림 프라푸치노,355,600,9,-,-,79
제주 말차샷 크림 프라푸치노,355,265,6,-,-,43
제주 쑥떡 크림 프라푸치노,355,460,8,-,-,57
초콜릿 크림 칩 프라푸치노,355,370,11,-,-,44
초콜릿 크림 프라푸치노,355,325,10,-,-,39
화이트 딸기 크림 프라푸치노,355,360,4,-,-,54
화이트 타이거 프라푸치노,355,410,5,-,-,57
망고 패션 후르츠 블렌디드,355,120,1,-,-,25
디카페인 아포가토 블렌디드,355,495,10,-,-,46
딸기 요거트 블렌디드,355,250,8,-,-,48
망고 바나나 블렌디드,355,270,4,-,-,48
익스트림 티 블렌디드,355,200,0,-,-,45
자몽 셔벗 블렌디드,355,225,1,-,-,51
매직 팝 스플래쉬 피지오,355,320,1,-,-,60
블랙 티 레모네이드 피지오,355,65,0,-,-,17
쿨 라임 피지오,355,100,0,-,-,25
패션 탱고 티 레모네이드 피지오,355,65,0,-,-,17
핑크 자몽 피지오,355,185,1,-,-,43
아이스 제주 유자 탱고 티,355,125,0,-,-,28
제주 유자 탱고 티,355,205,0,-,-,48
그랜마 애플 블랙 티,355,200,1,-,-,30
라임 패션 티,355,140,0,-,-,35
민트 블렌드 티,355,0,0,-,-,0
아이스 그랜마 애플 블랙 티,355,230,1,-,-,38
아이스 라임 패션 티,355,90,0,-,-,22
아이스 민트 블렌드 티,355,0,0,-,-,0
아이스 얼 그레이 티,355,0,0,-,-,0
아이스 유스베리 티,355,0,0,-,-,0
아이스 잉글리쉬 브렉퍼스트 티,355,0,0,-,-,0
아이스 제주 유기 녹차,355,0,0,-,-,0
아이스 차이 티,355,0,0,-,-,0
아이스 캐모마일 블렌드 티,355,0,0,-,-,0
아이스 히비스커스 블렌드 티,355,0,0,-,-,0
얼 그레이 티,355,0,0,-,-,0
유스베리 티,355,0,0,-,-,0
잉글리쉬 브렉퍼스트 티,355,0,0,-,-,0
자몽 허니 블랙 티,355,125,0,-,-,30
제주 유기 녹차,355,0,0,-,-,0
차이 티,355,0,0,-,-,0
캐모마일 블렌드 티,355,0,0,-,-,0
히비스커스 블렌드 티,355,0,0,-,-,0
가드닝 블랙 티,355,140,0,-,-,29
가드닝 캐모마일 티,355,130,0,-,-,30
썸머 시트러스 소르베 그린 티,355,255,1,-,-,57
썸머 시트러스 아이스 그린 티,355,185,0,-,-,41
아이스 자몽 허니 블랙 티,355,125,0,-,-,30
토마토 라임 그린 티,355,150,1,-,-,31
그린 티 라떼,355,260,10,-,-,29
아이스 그린 티 라떼,355,200,7,-,-,24
아이스 얼 그레이 티 라떼,355,60,2,-,-,13
아이스 제주 말차샷 라떼,355,185,7,-,-,22
아이스 차이 티 라떼,355,190,5,-,-,31
얼그레이 티 라떼,355,100,5,-,-,19
제주 말차샷 라떼,355,250,10,-,-,27
차이 티 라떼,355,200,6,-,-,31
아이스 제주 노랑 고구마 라떼,355,410,16,-,-,46
제주 노랑 고구마 라떼,355,365,16,-,-,46
시그니처 핫 초콜릿,355,435,12,-,-,37
아이스 시그니처 초콜릿,355,435,12,-,-,37
부산 레드 온더 비치,355,175,0,-,-,28
스팀 우유,355,215,13,-,-,18
아이스 라임 플로터,355,110,0.3,-,-,27
아이스 오렌지 플로터,355,100,0.6,-,-,22
아이스 와일드 베리 플로터,355,130,1,-,-,28
아이스 제주 까망 라떼,355,225,8,-,-,13
우유,355,240,12,-,-,18
제주 까망 라떼,355,225,10,-,-,18
제주 쑥쑥 라떼,355,425,16,-,-,50
매콤 소시지 불고기 베이크,100,246,10,-,-,6
소시지 불고기 베이크,100,250,10,-,-,6
쫄깃 레드빈 브레드,155,440,10,-,-,29
치킨 그랩 브레드,130,298,17,-,-,12
녹차 머핀,85,216,5,-,-,7
다크 초콜릿 칩 머핀,108,510,5,-,-,37
상큼한 블루베리 머핀,113,450,5,-,-,38
제주 감귤 머핀,85,191,6,-,-,5
고소한 치즈 베이글,120,343,17,-,-,8
블루베리 베이글,100,258,10,-,-,10
월넛 크림 치즈 베이글,140,437,15,-,-,7
호두 크림치즈 베이글,130,378,11,-,-,10
DT_스콘 스틱,96,400,5,-,-,23
미니 클래식 스콘,96,452,7,-,-,12
카카오 초콜릿 스콘,103,480,5,-,-,25
클래식 스콘,105,468,4,-,-,17
한라봉 스콘,70,266,4,-,-,13
DT_파마산 스틱,52,240,4,-,-,8
거문 오름 크루아상,82,391,7,-,-,16
레몬&그린티 패스트리,50,120,4,-,-,5
리프 파이,54,265,3,-,-,13
바게트 버터&잼,103,299,5,-,-,17
베이컨 치즈 데니쉬,190,820,14,-,-,17
스위트 시나몬 브리오슈,75,277,5,-,-,24
올리브 베이컨 플랫 브레드,105,400,4,-,-,3
우도 땅콩 데니쉬롤,92,365,5,-,-,21
우리 대감 쌀빵,200,668,20,-,-,22
우리 쑥쑥 쌀식빵,200,578,25,-,-,11
쫄깃한 소시지 롤,112,295,12,-,-,6
쫄깃한 크림치즈 쌀빵,150,700,14,-,-,30
체다치즈 먹물 쌀식빵,220,576,24,-,-,12
초콜릿 롤링 크루아상,90,350,4,-,-,10
초콜릿 크런치 볼,90,365,5,-,-,26
치즈 데니쉬,90,323,11,-,-,13
프렌치 크루아상,65,270,4,-,-,5
하트 파이,96,465,7,-,-,13
한라산 치즈 볼케이노,84,242,8,-,-,6
현무암 포카치아,60,147,4,-,-,4
리얼 피칸 타르트,135,880,11,-,-,23
클라우드 초콜릿 케이크,225,770,10,-,-,67
7 레이어 가나슈 케이크,140,625,5,-,-,47
DT밀당 케이크_듀오,76,232,3,-,-,21
DT밀당 케이크_레드 벨벳,60,224,2,-,-,81
DT밀당 케이크_촉촉 초코,40,129,2,-,-,58
구운 바나나 케이크,90,339,3,-,-,33
레드벨벳 크림치즈 케이크,115,466,5,-,-,19
리코타 멜팅 치즈 케이크,130,460,7,-,-,33
마스카포네 티라미수 케이크,170,520,6,-,-,35
밀크티 초콜릿 케이크,90,350,3,-,-,24
바나나 피칸 파운드,126,365,5,-,-,58
부드러운 생크림 카스텔라,170,593,10,-,-,29
블랙 쿠키 치즈 케이크,215,820,11,-,-,52
블루베리 쿠키 치즈 케이크,260,984,5,-,-,26
애플 시나몬 크럼블,90,293,4,-,-,26
유자 담은 티라미수,200,635,7,-,-,50
제주 감귤 치즈 케이크,125,425,6,-,-,33
진한 녹차 생크림 케이크,90,272,3,-,-,19
진한 얼 그레이 생크림 케이크,180,510,9,-,-,27
초콜릿 데블스 케이크,90,402,5,-,-,38
초콜릿 페스티벌 케이크,150,640,7,-,-,55
크레이프 치즈 케이크,170,565,8,-,-,31
클라우드 치즈 케이크,145,586,8,-,-,31
호두 당근 케이크,210,942,15,-,-,35
당근 현무암 케이크,105,304,4,-,-,32
라임라임 타르트,180,549,6,-,-,43
몽한라 아일랜드,180,809,7,-,-,62
새콤한 레몬 타르트,153,460,9,-,-,27
제주 녹차 티라미수 아일랜드,150,472,5,-,-,27
진한 초콜릿 타르트,135,643,8,-,-,19
체커스 케이크,67,272,3,-,-,20
티라미수 아일랜드,150,476,5,-,-,29
피스타치오 파운드,125,550,13,-,-,11
촉촉 초콜릿 생크림 케이크,105,378,6,-,-,22
티라미수 볼,130,384,5,-,-,23
베리베리 바움쿠헨,280,890,11,-,-,104
초콜릿 벨벳 케이크,280,1215,12,-,-,88
블루베리 쿠키 치즈 케이크,100,385,5,-,-,10
세븐 레이어 가나슈 케이크,100,425,5,-,-,32
청담스타 얼 그레이 밀크 케이크,100,310,4,-,-,20
청담스타 오 허니 케이크,100,348,5,-,-,28
크레이프 에멘탈 치즈 케이크,100,330,5,-,-,18
피칸 브라우니,100,465,4,-,-,48
헤븐리 티라미수,100,236,2,-,-,38
베이컨 치즈 토스트,110,350,9,-,-,20
쉬림프 로제 파스타 밀 박스,233,333,9,-,-,2.5
치킨 커틀렛 아보카도 샌드위치,158,347,12,-,-,9
로스트 비프 샐러드 밀 박스,202,210,12,-,-,12
로스트 치킨 샐러드 밀 박스,197,170,14,-,-,10
베이컨 포테이토 샐러드 밀 박스,185,238,8,-,-,9
브로콜리 에그 샐러드 밀 박스,207,358,11,-,-,12
쉬림프 코코넛 샐러드 밀 박스,212,177,12,-,-,7
콥 & 요거트 샐러드,180,203,11,-,-,6
B.E.L.T. 샌드위치,235,505,19,-,-,6
DT밀당 샌드위치_바질 모짜렐라,100,190,7,-,-,3
DT밀당 샌드위치_베이컨 크림치즈,85,260,7,-,-,5
그릴드 베지터블 파니니,230,423,12,-,-,9
뉴 비프 브리또,150,332,13,-,-,4
단호박 에그 샌드위치,190,317,8,-,-,10
머쉬룸 치즈 클럽 샌드위치,211,440,15,-,-,4
멕시칸 브리또 밀 박스,277,555,19,-,-,15
모짜렐라 베이컨 샌드위치,197,401,15,-,-,6
바비큐 치킨 치즈 치아바타,155,277,15,-,-,7
바비큐 치킨 파니니,375,375,28,-,-,19
바질 치킨 바게트,160,394,23,-,-,5
바질 펜네 밀 박스,223,388,12,-,-,2.8
베이컨 과카몰리 샌드위치,192,460,15,-,-,8
베이컨 치즈 치아바타 모닝박스,253,445,21,-,-,3
볼케이노 샌드위치,125,347,13,-,-,7
스리라차 치킨 치아바타,174,353,15,-,-,9
어니언 베이컨 체다치즈 파니니,175,508,14,-,-,5
에그 베이컨 치즈 백년초 베이글,190,404,16,-,-,19
에그 베이컨 파니니,182,541,25,-,-,8
에그 아보카도 파니니,208,547,29,-,-,10
"에그, 베이컨 치즈 베이글",180,449,24,-,-,11
에그에그 샌드위치,175,370,15,-,-,9
잉글리쉬 머핀 밀 박스,232,390,18,-,-,7
제주 녹차 베이컨 치즈 베이글,200,549,22,-,-,24
제주 당근 크림치즈 샌드위치,230,484,12,-,-,96
제주 흑돼지 초리조 먹물 샌드위치,210,554,21,-,-,10
치킨 루꼴라 샌드위치,128,280,14,-,-,9
치킨 아보카도&치즈 파니니,153,415,24,-,-,6
크랜베리 치킨 치즈 샌드위치,194,364,12,-,-,13
크로크 무슈,160,402,16,-,-,3
탄두리 치킨 샌드위치,158,360,16,-,-,3
탄두리 치킨 토마토 샌드위치,180,360,17,-,-,14
터키 멜팅 치즈 샌드위치,155,391,19,-,-,3
포크 커틀릿 샌드위치,206,555,26,-,-,6
한라봉 모닝샌드위치,140,390,12,-,-,5
햄 에그 크레페 밀 박스,183,275,16,-,-,6
햄&루꼴라 올리브 샌드위치,190,333,14,-,-,3
햄&치즈 에그 머핀,115,281,12,-,-,1
현무암 크로크무슈,110,323,11,-,-,7
초콜릿 월넛 돔 쿠키,90,441,5,-,-,34
로고 코인 다크 초콜릿 (골드),50,255,5,-,-,13
로고 코인 밀크 초콜릿 (실버),50,256,4,-,-,30
로스티드 아몬드 앤 초콜릿,56,326,4,-,-,24
리저브 초콜릿 세트,36,181,2,-,-,19
블루베리 초콜릿,57,300,3,-,-,29
에스프레소 빈 초콜릿,50,263,3,-,-,22
제주 오름 초콜릿 세트,108,570,7,-,-,57
구워서 바삭한 코코넛 칩,22,130,1,-,-,5
다크 초콜릿 카우보이 쿠키,85,465,5,-,-,29
먹물치즈 라이스 비스코티,60,305,7,-,-,8
버터 가득 라이스 쿠키,80,422,4,-,-,16
버터 라이스 쿠키 틴백,40,211,2,-,-,8
블루베리 잼 쿠키,76,333,4,-,-,20
스마일 쿠키 라즈베리,140,661,7,-,-,41
스마일 쿠키 초콜릿,140,736,8,-,-,41
오트밀 레이즌 쿠키,85,380,3,-,-,37
우리 미 감자팝,35,165,3,-,-,3
탐라 비스코티,78,411,10,-,-,20
현무암 러스크,36,174,3,-,-,12
화이트 초콜릿 카우보이 쿠키,85,450,5,-,-,31
다크 초콜릿 마카롱,35,165,3,-,-,19
바닐라 마카롱,35,155,3,-,-,19
블루베리 마카롱,35,160,2,-,-,20
스트로베리 마카롱,35,140,0,-,-,14
우도 땅콩 다쿠아즈,32,130,2,-,-,16
우리米 카스텔라,200,585,13,-,-,50
제주 녹차 다쿠아즈,32,130,2,-,-,17
카라멜 스틱,40,165,1,-,-,24
카라멜 와플,66,300,2,-,-,20
유기농 바닐라 아이스크림,120,175,3,-,-,15
유기농 초콜릿 아이스크림,120,294,7,-,-,23
자바 칩 유기농 바닐라 아이스크림,120,210,3,-,-,19
자바 칩 유기농 초콜릿 아이스크림,120,329,7,-,-,27
넛츠 바닐라 아포가토,165,282,6,-,-,15
넛츠 초콜릿 아포가토,165,401,10,-,-,23
바닐라 아포가토,150,180,3,-,-,15
자바 칩 바닐라 아포가토,160,215,3,-,-,19
자바 칩 초콜릿 아포가토,160,334,7,-,-,27
초콜릿 아포가토,150,299,7,-,-,23
오리지널 프레즐,105,337,8,-,-,8
아몬드 프레즐,112,370,7,-,-,13
시나몬 슈가 프레즐,103,340,7,-,-,14
갈릭 프레즐,108,340,8,-,-,8
어니언 프레즐,110,336,8,-,-,8
페퍼로니 프레즐,140,476,16,-,-,9
할라피뇨 치즈 프레즐,145,406,16,-,-,11
애플 플랫프레즐,130,392,8,-,-,31
치킨 플랫프레즐,120,314,16,-,-,7
오리지널스틱,145,452,10,-,-,13
아몬드스틱,152,513,12,-,-,13
시나몬 슈가 스틱,155,472,10,-,-,19
크림치즈 스틱,159,473,11,-,-,14
아몬드 크림치즈 스틱,165,492,11,-,-,16
어니언스틱,155,473,11,-,-,11
갈릭스틱,152,479,11,-,-,11
벚꽃크림치즈스틱,170,568,12,-,-,25
고구마크림치즈스틱,167,495,12,-,-,20
아몬드모카크림치즈스틱,165,519,12,-,-,28
아몬드고구마크림치즈스틱,179,670,13,-,-,28
핫도그,140,389,18,-,-,6
할라피뇨 치즈 핫도그,155,406,19,-,-,7
블랙페퍼 치즈 핫도그,150,409,21,-,-,5
레몬에이드,456,225,0,-,-,55
블루큐라소 레몬에이드,456,227,0.3,-,-,43
스트로베리 레몬에이드,456,181,0,-,-,40
키위바나나 레몬에이드,456,230,0,-,-,43
자몽 레몬에이드,456,192,0.4,-,-,47
청포도 레몬에이드,456,175,0.7,-,-,46
유자에이드,456,304,0,-,-,54
애플유자에이드,456,319,4.5,-,-,68
피치유자에이드,456,365,0,-,-,79
카푸치노,355,163,9,-,-,11
카페라떼,355,180,10,-,-,12
아이스카페라떼,456,177,10,-,-,10
바닐라라떼,355,201,8,-,-,19
아이스바닐라라떼,456,226,8,-,-,23
카라멜라떼,355,263,10,-,-,22
아이스카라멜라떼,456,262,8,-,-,22
카페모카,355,281,10,-,-,36
아이스카페모카,456,268,9,-,-,24
녹차라떼,355,313,10,-,-,41
아이스녹차라떼,456,336,9,-,-,49
핫초코,355,343,14,-,-,35
아이스초코,456,325,11,-,-,32
벚꽃레몬에이드,456,19,0,-,-,47
패션후르츠 레몬에이드,456,210,0,-,-,45
마일드 민트 레몬에이드,456,187,0,-,-,45
체다치즈 딥,30,65,2,-,-,2
크림치즈 딥,28,100,2,-,-,1
핫살사 치즈 딥,30,53,2,-,-,1
핫 토마토 딥,30,23,1,-,-,3
아메리카노,100,2.46,0.12,0.05,0.38,0
카페라떼,100,17.6,1.07,0.63,1.92,0.74
카푸치노,100,22.9,1.34,0.86,2.46,1.21
카라멜마끼아또,100,40.1,2.02,0.88,6.03,5.78
바닐라 라떼,100,40.7,1.29,1.52,5.46,3.76
카페모카,100,38.9,0.86,1.11,6.37,4.76
헤이즐넛 아메리카노,100,1.98,0.17,0.01,0.31,0
헤이즐넛 라떼,100,21,1.17,1.06,1.72,1.35
더치 아메리카노,100,2.84,0.18,0.01,0.51,0
더치 라떼,100,20.6,1.01,0.88,2.16,1.37
초코라떼,100,65.2,1.46,1.79,10.8,9.6
녹차라떼,100,57.4,1.59,1.4,9.61,8.75
오곡라떼,100,65.1,1.65,2.15,9.79,6.59
민트크림초코,100,66.5,1.25,2.17,10.5,7.5
고구마라떼,100,73.7,1.24,1.68,13.4,7.3
홍차라떼,100,61,1.65,1.83,9.47,8.9
폭탄초코,100,77.7,1.51,3.21,10.7,10.3
딸기라떼,100,64.8,1.36,2.21,9.87,9.72
플레인요거트,100,62.1,2.16,0.7,13.2,12.7
딸기요거트,100,75.1,1.73,0.55,15.8,15.6
녹차프라페,100,71.1,1.55,1.74,12.3,10.6
폭탄프라페,100,110,1.07,5.53,14,13.6
쿠키프라페,100,104,1.53,4.55,14.3,8.04
민트프라페,100,90.5,0.97,4.74,11,9.15
딸기스무디,100,64.7,0.66,1.47,12.2,9.96
망고스무디,100,58.1,0.75,0.7,12.2,11.8
망고요거트,100,71.7,1.55,0.7,14.8,13
모카프라페,100,97.1,1.49,4.75,12.1,11.8
레몬에이드,100,40.3,0.07,0.08,9.83,9.73
블루레몬에이드,100,45.3,0.06,0.07,11.1,10.7
자몽에이드,100,37.8,0.35,0.06,8.96,8.05
유자레이드,100,51.4,0.25,0.09,12.4,12.2
체리콕,100,56.1,0.01,0.05,13.9,13.8
라임에이드,100,42.1,0.02,0.05,10.4,9.51
폭탄에이드,100,43.8,0.11,0.06,10.7,9.07
청포도에이드,100,52.5,0.01,0.18,12.7,11.6
깔라만시에이드,100,48.2,0.05,0.01,12,11
아이스티,100,50.6,0.06,0.08,12.4,12.1
레몬티,100,46.5,0.52,0.05,11,10.4
유자티,100,56,0.13,0.07,13.7,13.2
꿀자몽티,100,58.4,0.13,0.07,14.3,13.7
딸기바나나,100,59.1,1.01,1.05,11.4,10.9
망고바나나,100,67,1.06,0.93,13.6,13
초코바나나,100,62.9,1.45,1.28,11.4,10
망고주스,100,29.4,0.09,0.35,6.46,6.1
연유 카페라떼 HOT,370,330,9,-,-,33
