식품명,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g)
불고기(나폴리M),177,421,2,-,-,7
불고기(씬 L),102,250,14,-,-,4
불고기(씬 M),162,394,22,-,-,8
불고기(슈퍼시드 함유 도우L),125,312,18,-,-,6
불고기(슈퍼시드 함유 도우M),121,301,15,-,-,8
불고기 더블치즈엣지(오리지널 L),134,342,16,-,-,8
불고기 더블치즈엣지(오리지널 M),139,350,18,-,-,5
블랙앵거스 스테이크(오리지널 L),158,405,21,-,-,6
블랙앵거스 스테이크(오리지널 M),126,307,14,-,-,7
블랙앵거스 스테이크(나폴리L),160,383,17,-,-,10
블랙앵거스 스테이크(나폴리M),103,248,12,-,-,7
블랙앵거스 스테이크(씬 L),121,296,14,-,-,8
블랙앵거스 스테이크(씬 M),169,459,20,-,-,11
블랙앵거스 스테이크(슈퍼시드 함유 도우L),103,266,12,-,-,7
블랙앵거스 스테이크(슈퍼시드 함유 도우M),126,301,14,-,-,9
블랙앵거스 스테이크 더블치즈엣지(오리지널 L),158,369,17,-,-,13
블랙앵거스 스테이크 더블치즈엣지(오리지널 M),156,388,19,-,-,8
블랙타이거 슈림프(오리지널 L),198,488,23,-,-,11
블랙타이거 슈림프(오리지널 M),123,288,13,-,-,8
블랙타이거 슈림프(나폴리M),191,453,20,-,-,14
블랙타이거 슈림프(나폴리L),159,358,18,-,-,13
블랙타이거 슈림프(씬 M),188,431,20,-,-,16
블랙타이거 슈림프(씬 L),125,308,14,-,-,12
블랙타이거 슈림프(슈퍼시드 함유 도우L),157,403,18,-,-,16
블랙타이거 슈림프 더블치즈엣지(오리지널 L),118,290,13,-,-,10
블랙타이거슈림프(슈퍼시드 함유 도우M),144,363,18,-,-,9
블랙타이거슈림프 더블치즈엣지(오리지널 M),193,468,21,-,-,18
슈퍼디럭스(오리지널 L),248,625,32,-,-,15
슈퍼디럭스(오리지널 M),134,307,17,-,-,3
슈퍼디럭스(나폴리L),150,386,19,-,-,4
슈퍼디럭스(나폴리M),107,251,12,-,-,3
슈퍼디럭스(씬 L),118,282,15,-,-,3
슈퍼디럭스(씬 M),186,450,24,-,-,4
슈퍼디럭스(슈퍼시드 함유 도우L),155,393,20,-,-,4
